group,amp_real,tau_real,sf_asym_real,amp_sim,tau_sim,sf_asym_sim,band
BAL,0.09729509606473025,106.83556534468903,0.24017354090626608,0.09729509606473025,106.83556534468903,0.15916634763964072,g
BAL,0.07769242278216335,0.0002699209243753674,0.11048319875833063,0.07769242278216335,0.0002699209243753674,0.12122900500834892,g
BAL,0.13476568228905,12.145591164289744,0.23107050671502677,0.13476568228905,12.145591164289744,0.203818837676636,g
BAL,0.10880131478643212,90.84699452450911,0.2582052269692729,0.10880131478643212,90.84699452450911,0.21155887763638767,g
BAL,0.20807770408212684,12.377507717650868,0.30783893617918867,0.20807770408212684,12.377507717650868,0.46417016610463313,g
BAL,0.27816041872551783,3.316460260296822,0.5128455442500001,0.27816041872551783,3.316460260296822,0.38638085809670536,g
BAL,0.15082112827446997,0.0003889969054378201,0.3170292248698267,0.15082112827446997,0.0003889969054378201,0.17507143038614295,g
BAL,0.10059295275007911,35.41522728016513,0.22810931339596338,0.10059295275007911,35.41522728016513,0.16336673916970865,g
BAL,0.14451664388429733,63.82833914627895,0.2916206087557918,0.14451664388429733,63.82833914627895,0.1743064498825341,g
BAL,0.2083810992121687,8.495800296283307e-05,0.37987273547277783,0.2083810992121687,8.495800296283307e-05,0.2063201297235534,g
BAL,0.12995612817454563,0.00027671352027961317,0.31044934689538217,0.12995612817454563,0.00027671352027961317,0.13824363499198036,g
BAL,0.052560600900795576,63.020558099812085,0.14372867059849656,0.052560600900795576,63.020558099812085,0.09221875468699747,g
BAL,0.15006016633168384,0.0001528044057692262,0.3187952429999992,0.15006016633168384,0.0001528044057692262,0.17504256349905845,g
BAL,0.29977860884188184,1.0982075969788956,0.47652664378250653,0.29977860884188184,1.0982075969788956,0.365294007190216,g
BAL,0.11280204739028402,7.70107330175675e-05,0.2510493179999978,0.11280204739028402,7.70107330175675e-05,0.1422022232846577,g
BAL,0.10840976964681388,220.86368053196708,0.16663449614978468,0.10840976964681388,220.86368053196708,0.16678572147947915,g
BAL,0.2395578264807795,0.993955010262067,0.4764921786746211,0.2395578264807795,0.993955010262067,0.37115318091474486,g
BAL,0.11795320585338383,107.77600979912523,0.13104734051528408,0.11795320585338383,107.77600979912523,0.19772680463611164,g
BAL,0.2090844348357664,1.2868744945972845,0.37850131799999825,0.2090844348357664,1.2868744945972845,0.26146502244203307,g
BAL,0.28220613294254876,0.9993194712828877,0.6030642401959339,0.28220613294254876,0.9993194712828877,0.3855797579673134,g
BAL,0.17231703373374557,1.5989071081972501,0.34185800059701754,0.17231703373374557,1.5989071081972501,0.24444022874080662,g
BAL,0.19130938948081383,0.00020862110362349304,0.32252036678607837,0.19130938948081383,0.00020862110362349304,0.15765734943195536,g
BAL,0.29328396367374154,5.894487718234116,0.3639707842976456,0.29328396367374154,5.894487718234116,0.43531165348645345,g
BAL,0.18897281583828401,3.796484737568213,0.3977697169679879,0.18897281583828401,3.796484737568213,0.23836431448692624,g
BAL,0.28327434142207236,0.00013465718845960233,0.49226869518356886,0.28327434142207236,0.00013465718845960233,0.4727054451425529,g
BAL,0.1778615603474353,1.046478402805988,0.36472398151124774,0.1778615603474353,1.046478402805988,0.2249798256559118,g
